APPL_NO,FORM,STRDADDRESS,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE,ZONING,PD_NO,SD_NO
201001194971,3,340 KEARNY ST,0269,008,2,2,,,CH,RETAIL SALES,2 FAMILY DWELLING,,C-3-O,4,3
200912283901,3,134 CLEMENT ST,1431,022,2,2,,,CH,OFFICE,2 FAMILY DWELLING,,INNER CLEMENT,1,1
200806053752,6,412 NOE ST,3582,089,-2,-2,,,D,2 FAMILY DWELLING,,,RH-3,7,8
201103091771,8,3669 18TH ST,3587,049,5,1,,,A,APARTMENTS,APARTMENTS,,RM-2,8,8
200810204565,3,3665 18TH ST,3587,049,5,1,,,L,APARTMENTS,APARTMENTS,,RM-2,8,8
200706113545,2,155 TERRACE DR,3076,050,1,1,,,N,,1 FAMILY DWELLING,,RH-1(D),13,7
200504049074,2,791 SAN BRUNO AV,4075,017,1,1,,,N,,1 FAMILY DWELLING,,RH-2,9,10
200812108239,2,219 PRENTISS ST,5654,021,1,1,,,N,,1 FAMILY DWELLING,,RH-1,11,9
201006235114,2,424 OCTAVIA ST,0817,033,1,1,,,N,,FOOD/BEVERAGE HNDLNG,,HAYES NCT,5,5
200905228971,2,192 NEY ST,5891,001,1,1,,,N,,1 FAMILY DWELLING,,RH-1,12,11
200809091088,2,347 MULLEN AV,5534,038,1,1,,,N,,1 FAMILY DWELLING,,RH-1,11,9
200601242864,2,239 MINERVA ST,7092,070,1,1,,,N,,1 FAMILY DWELLING,,RH-1,13,11
200608250538,2,1506 INNES AV,5259,033,1,1,,,N,,1 FAMILY DWELLING,,RH-1,10,10
,2,3407 FOLSOM ST,5549,041,1,1,,,N,,1 FAMILY DWELLING,,RH-2,11,9
200706123741,2,1209 FILBERT ST,0096,061,1,1,,,N,,1 FAMILY DWELLING,,RH-3,3,2
200608149384,2,1636 DIAMOND ST,7520,006,1,1,,,N,,1 FAMILY DWELLING,,RH-1,7,8
200702073645,2,102 CONRAD ST,7553,039,1,1,,,N,,1 FAMILY DWELLING,,RH-1,7,8
200901230736,2,47 CLARENDON AV,2706,048,1,1,,,N,,1 FAMILY DWELLING,,RH-1(D),14,7
200807106432,2,27 CARVER ST,5632,016,1,1,,,N,,1 FAMILY DWELLING,,RH-1,11,9
