STDADDRESS,PRJ_NAME,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE, Zoning,PD_NO,SD_NO,PLANAREA
141 GRANADA AV,,6983,11,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,2/4/2013,RH-1,12,11,
1456 CHESTNUT ST,,480,,-1,-1,,,Demolition,1 FAMILY DWELLING,,4/2/2013,RH-2,11,9,
149 PANAMA ST,,7178,12,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,9/12/2013,NCT-HAYES,5,5,Market/Octavia
1496 38TH AV,,1816,24,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,7/26/2013,RH-3,5,5,
15 BRUCE AV,,6977,14,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,1/18/2013,RH-1,12,10,Visitacion Valley
1531 THOMAS AV,,5361,28,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,6/10/2013,RH-1,13,11,
1554 SHAFTER AV,,5341,,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,2/22/2013,RH-2,11,9,
1618 35TH AV,,1909,32,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,8/27/2013,RH-1,14,7,
167 ELLINGTON AV,,7043,,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,6/21/2013,RH-1,10,10,Bayview
168 CLIPPER ST,,6549,21,-1,-1,,,Demolition,1 FAMILY DWELLING,,11/4/2013,RH-2,1,1,
170 10TH AV,,1369,21,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,1/30/2013,RH-2,14,7,
18 VALLEY ST,,6616,10,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,1/30/2013,RH-2,7,8,
180 GUERRERO ST,,3534,11,4,-1,,,,APARTMENTS,APARTMENTS,1/23/2013,RH-1,13,11,
1886 32ND AV,,2068,28,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,4/5/2013,RTO,5,5,Market/Octavia
1973 FILBERT ST,,531,22,-1,-1,,,Demolition,1 FAMILY DWELLING,,7/31/2013,RH-2,7,8,
