STDADDRESS,PRJ_NAME,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE, Zoning,PD_NO,SD_NO,PLANAREA,LAT_LNG,ZIP_CODE,ZILLOW_ID,RENT_ESTIMATE,HOUSE_SIZE
2224 CASTRO ST,,7536,37,2,1,,,Expansion,2 FAMILY DWELLING,2 FAMILY DWELLING,10/15/2013,RH-1,12,11,,"[37.743614, -122.433628]",94131,15200091,4950,1220
2258 15TH ST,,3540,23,3,1,,,Expansion,2 FAMILY DWELLING,APARTMENTS,4/15/2013,RH-2,5,5,Japantown,"[37.766045, -122.434532]",94114,15142873,9000,3660
2260 15TH ST,,3540,23,3,1,1,SEC,Expansion,2 FAMILY DWELLING,APARTMENTS,5/31/2013,NC-1,1,1,,"[37.7659025, -122.4345822]",94114,15142873,9000,3660
2335 DIAMOND ST,,7551,17,1,1,,,New Construction,,1 FAMILY DWELLING,4/4/2013,RM-3,5,5,,"[37.738127, -122.436723]",94131,119684736,12920,3515
234 09TH ST,,3518,4,1,1,,,Conversion,OFFICE,1 FAMILY DWELLING,6/4/2013,RH-3,2,2,,"[37.7743139, -122.412756]",94103,,,
26 CHENERY ST,,6656,5,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,8/1/2013,RH-1,10,10,Bayview,"[37.741454, -122.426048]",94131,15183816,7500,2336
260 ARBOR ST,,7554,7,1,1,,,New Construction,,1 FAMILY DWELLING,3/8/2013,RH-1,14,7,,"[37.73784000000001, -122.4382453]",94131,119684941,5000,
273 MAGELLAN AV,,2864,,1,1,,,New Construction,,1 FAMILY DWELLING,9/26/2013,C-3-G,4,6,,"[37.746607, -122.460992]",94116,116155841,10500,4182
28 PRECITA AV,,5518,23,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,2/7/2013,RH-2,7,8,,"[37.746472, -122.418489]",94110,116157261,6820,1750
283 GRANADA AV,,6941,2,1,1,,,Conversion,STORAGE SHED,1 FAMILY DWELLING,7/3/2013,NCD-TARAVAL STREET,15,4,,"[37.7237154, -122.4572884]",94112,,,
30 CONRAD ST,,7552,3,1,1,,,New Construction,,1 FAMILY DWELLING,10/15/2013,RH-3,6,8,,"[37.737845, -122.436477]",94131,122245523,12000,3018
31 PARNASSUS AV,,1279,83,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,3/19/2013,RH-2,1,1,,"[37.764826, -122.448244]",94117,15088154,14500,3740
31 PARNASSUS AV,,1279,83,2,1,,,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,1/23/2013,RH-3,6,8,,"[37.764826, -122.448244]",94117,15088154,14500,3740
