APPL_NO,FORM,STRDADDRESS,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE,ZONING,PD_NO,SD_NO,LAT_LNG,ZIP_CODE,ZILLOW_ID,RENT_ESTIMATE,HOUSE_SIZE
201010263766,6,1169 MARKET ST,3702,051,310,-52,,,D,APARTMENTS,APARTMENTS,,C-3-G,4,6,"[37.7786339, -122.4138879]",94103,2120121541,3500,
201110136719,8,36 ADAIR ST,3553,040,3,1,SEC,SEC,A,APARTMENTS,APARTMENTS,,RTO-Mission,8,6,"[37.765861, -122.418243]",94103,2099914413,,
200910018065,3,926 SHOTWELL ST,3641,075,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,8,9,"[37.7531139, -122.415545]",94110,15146890,7500,2070
201006154519,3,84 RICHLAND AV,6692,065,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,11,9,"[37.735765, -122.425085]",94110,15184344,4450,2155
201101279167,3,1450 SANCHEZ ST,6602,001,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,7,8,"[37.7457727, -122.4292698]",94131,,,
200903123981,2,1118 BURROWS ST,5972,044,1,1,SEC,SEC,N,,1 FAMILY DWELLING,,RH-1,12,9,"[37.726522, -122.4145461]",94134,119684730,4000,
200712069782,3,421 MORAGA ST,2039,045,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,14,7,"[37.756271, -122.467293]",94122,15111628,6040,2700
201004019462,8,423 MORAGA ST,2039,045,2,1,SEC,SEC,A,2 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,14,7,"[37.7563798, -122.4673158]",94122,,,
200807096279,3,1646 MCKINNON AV,5296,007,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,10,10,"[37.7367789, -122.3906352]",94124,,,
200901140220,3,425 BRYANT ST,3775,095,1,1,SEC,SEC,CH,WORKSHOP COMMERCIAL,1 FAMILY DWELLING,,MUO,9,6,"[37.782465, -122.394011]",94107,,,
200803106722,3,1016 LOMBARD ST,0068,008,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-3,3,2,"[37.8023622, -122.418501]",94109,15064545,,5064
201106107917,8,162 LANDERS ST,3557,024,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RTO,7,8,"[37.76517560000001, -122.4279147]",94114,15143412,6820,1900
200601303332,3,542 KANSAS ST,4010,001O,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-3,9,10,"[37.762825, -122.403668]",94107,116156683,4995,1280
201104123959,3,1947 GOLDEN GATE AV,1158,034,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-3,5,5,"[37.777923, -122.442609]",94115,15085115,9000,3716
201006033737,3,290 FARALLONES ST,7105,015,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,NC-1,13,11,"[37.7142829, -122.4624729]",94112,116155777,4450,2900
200903124021,3,467 DUBOCE AV,3537,093,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RTO,6,8,"[37.7691852, -122.430613]",94117,121338543,9000,4550
201012277423,8,1220 45TH AV,1706,041,2,1,SEC,SEC,A,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,15,4,"[37.763795, -122.504761]",94122,15100958,5500,3068
201003117984,3,1562 DOLORES ST,6618,004,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,7,8,"[37.744282, -122.42481]",94110,15183140,,1300
200811106167,3,5 CYRUS PL,0155,052,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-3,3,3,"[37.7961153, -122.4173109]",94109,114316652,6050,1310
200809080981,3,485 CORBETT AV,2712,003,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,7,8,"[37.75799, -122.444855]",94114,116156412,5100,1538
200907233321,8,1803 CASTRO ST,6581,030,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,7,8,"[37.747113, -122.433405]",94131,15182094,9000,3400
200806174638,3,75 LILY ST,0837,009,5,1,SEC,SEC,CH,APARTMENTS,APARTMENTS,,NCT-3,6,6,"[37.77447799999999, -122.422036]",94102,2136604386,5800,
201006033776,3,591 NAPLES ST,6090,015A,2,1,SEC,SEC,CH,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,12,11,"[37.719341, -122.43201]",94112,122244868,4250,2759
200705161448,3,769 TREAT AV,3612,062,3,1,SEC,SEC,A,2 FAMILY DWELLING,APARTMENTS,,RH-3,8,9,"[37.7579269, -122.4133188]",94110,116155704,,1629
200809262732,3,464 HICKORY ST,0830,022A,2,1,SEC,SEC,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RTO,5,5,"[37.7750652, -122.4270657]",94102,15078691,5000,1354
200606133867,3,676 16TH AV,1629,022,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1,"[37.775362, -122.474354]",94118,116156405,5500,2009
201102099895,3,2949 PACIFIC AV,0976,024,4,1,1,SEC,L,APARTMENTS,APARTMENTS,,RM-2,2,2,"[37.791914, -122.443867]",94115,15081103,14500,7800
200604038097,3,3043 CLAY ST,1005,025,3,1,SEC,SEC,A,2 FAMILY DWELLING,APARTMENTS,,RH-3,2,2,"[37.789301, -122.443154]",94115,121337544,6300,1953
201003188461,3,638 08TH AV,1637,028,2,1,SEC,SEC,L,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1,"[37.7749295, -122.4194155]",,,,
201009221404,3,3162 TURK BL,1141,016,2,1,SEC,SEC,L,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1,"[37.777549, -122.457953]",94118,,,
201101279152,8,557 15TH AV,1558,013B,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1,"[37.777534, -122.474094]",94118,15095096,6950,3414
200902262930,3,167 16TH AV,1376,014,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1,"[37.784928, -122.475744]",94118,15090073,8650,3318
200709284059,3,633 27TH AV,1570,003A,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1,"[37.777375, -122.487014]",94121,15095636,5000,2595
201006225027,3,720 YORK ST,4080,021,36,1,SEC,SEC,CH,OFFICE,ARTIST LIVE/WORK,,UMU,8,6,"[37.7596261, -122.4091927]",94110,2101876885,,560
200808149207,3,665 25TH AV,1568,008B,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1,"[37.776959, -122.484838]",94121,15095555,5000,2843
200605222180,3,762 27TH AV,1618,007,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1,"[37.77502399999999, -122.486188]",94121,15097551,6900,3815
200907031975,8,1624 BAY ST,0460A,007,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RM-3,2,2,"[37.803315, -122.433895]",94123,15070153,,2700
200807187057,3,3436 ANZA ST,1519,022B,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RM-1,1,1,"[37.77841799999999, -122.485272]",94121,15093821,5000,1231
200612119580,3,2400 BALBOA ST,1568,011D,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RH-2,1,1,"[37.7764111, -122.4846595]",94121,118486419,4500,1043
201004231007,3,19 CAPP ST,3553,047A,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RTO-Mission,8,6,"[37.7663772, -122.4186234]",94103,15143182,6800,1617
