STDADDRESS,PRJ_NAME,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE, Zoning,PD_NO,SD_NO,PLANAREA,LAT_LNG,ZIP_CODE
1973 FILBERT ST,,531,22,-1,-1,,,Demolition,1 FAMILY DWELLING,,7/31/2013,RH-2,7,8,,"[37.79823200000001, -122.431767]",94123
20 LEDYARD ST,,5396,,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,3/18/2013,RH-1 (D),7,8,Glen Park,"[37.733553, -122.402648]",94124
206 LISBON ST,,6016,,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,7/18/2013,RH-2,1,1,Geary Corridor,"[37.72505, -122.431588]",94112
2187 REVERE AV,,5347,28,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,5/2/2013,RH-3,7,8,,"[37.73768, -122.401299]",94124
227 DOUGLASS ST,,2692,29,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,10/9/2013,RH-2,1,1,Geary Corridor,"[37.7598399, -122.438936]",94114
230 02ND AV,,1432,37,-1,-1,,,Demolition,1 FAMILY DWELLING,,2/4/2013,RED,9,6,Eastern Neighborhoods,"[37.784401, -122.459897]",94118
2462 35TH AV,,2391,31,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,3/13/2013,RH-1,13,11,,"[37.741119, -122.492425]",94116
2463 30TH AV,,2395,12,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,1/4/2013,RC-4,4,6,,"[37.741345, -122.487723]",94116
247 THERESA ST,,6780,10,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,5/9/2013,RH-1 (D),14,7,,"[37.729925, -122.43627]",94112
251 ROME ST,,7045B,33,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,9/6/2013,RH-1,10,10,Bayview,"[37.715173, -122.447114]",94112
2546 43RD AV,,2443,,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,2/15/2013,RH-1,13,11,,"[37.739172, -122.500881]",94116
257 SAGAMORE ST,,7148,37,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,2/27/2013,RED,4,6,Eastern Neighborhoods,"[37.7111304, -122.461093]",94112
2619 PACIFIC AV,,585,16,4,-1,,,,APARTMENTS,APARTMENTS,6/18/2013,RH-2,13,7,,"[37.7928247, -122.4388053]",94115
2626 FILBERT ST,,943,,-1,-1,,,Demolition,1 FAMILY DWELLING,,6/18/2013,RH-1,12,11,,"[37.797402, -122.442798]",94123
2659 LEAVENWORTH ST,,27,,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,6/18/2013,RTO,5,5,Market/Octavia,"[37.8057001, -122.4189012]",94133
2726 NORIEGA ST,,2015,36,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,4/8/2013,RTO,8,8,Market/Octavia,"[37.753766, -122.493101]",94122
28 PRINCETON ST,,5865,5,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,7/25/2013,RH-1,10,10,Bayview,"[37.7297615, -122.4165068]",94134
2919 LAGUNA ST,,531,4,-1,-1,,,Demolition,1 FAMILY DWELLING,,2/21/2013,NC-1,13,7,,"[37.79826, -122.430943]",94123
2937 PIERCE ST,,536,2,1,-1,,,,2 FAMILY DWELLING,1 FAMILY DWELLING,9/3/2013,RH-1,13,7,,"[37.7972876, -122.4391009]",94123
306 BRAZIL AV,,6080,43,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,3/20/2013,RH-3,9,10,Eastern Neighborhoods,"[37.7234282, -122.4322144]",94112
306 MUNICH ST,,6074,2,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,1/2/2013,RH-2,1,1,,"[37.720781, -122.427233]",94112
348 POINT LOBOS AV,,1482,11,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,1/17/2013,RH-1 (D),15,4,,"[37.7802719, -122.50707]",94121
349 BANKS ST,,5685,19,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,6/21/2013,RH-1,13,11,,"[37.7387206, -122.4125081]",94110
358 HEARST AV,,3117,20,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,8/9/2013,RM-1,10,10,Bayview,"[37.7309709, -122.445657]",94112
367 HEAD ST,,7117,5,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,4/23/2013,CCB,3,3,Chinatown,"[37.7137249, -122.464671]",94132
400 AVALON AV,,6009,50,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,7/30/2013,RM-1,10,10,Bayview,"[37.72605300000001, -122.429255]",94112
4005 FOLSOM ST,,5727,29,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,7/8/2013,UMU,9,10,Eastern Neighborhoods,"[37.7368368, -122.41336]",94110
415 LYON ST,,1198,5,8,-1,,,,APARTMENTS,APARTMENTS,3/25/2013,RH-2,10,10,Bayview,"[37.774858, -122.443177]",94117
4150 SAN BRUNO AV,,6236,60,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,1/9/2013,RH-1,12,10,Visitacion Valley,"[37.7127256, -122.4024086]",94134
422 VICENTE ST,,2416,,-1,-1,,,Demolition,1 FAMILY DWELLING,,10/24/2013,RH-1,12,11,,"[37.739741, -122.471587]",94116
43 BRIDGEVIEW DR,,5337,10,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,5/3/2013,RH-1,13,11,,"[37.73449, -122.394385]",94124
437 HOFFMAN AV,,6503,24,1,-1,,,,2 FAMILY DWELLING,1 FAMILY DWELLING,7/12/2013,RED ,4,6,West Soma,"[37.75029, -122.440236]",94114
45 BURNSIDE AV,,6736,17,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,3/4/2013,RH-2,1,1,,"[37.73477099999999, -122.438002]",94131
48 MAJESTIC AV,,7049,11,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,3/28/2013,CCB,3,3,Chinatown,"[37.717839, -122.451511]",94112
494 PACHECO ST,,2126,23,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,10/15/2013,RH-2,1,1,,"[37.751191, -122.465121]",94116
50 CARR ST,,5462,14,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,1/22/2013,RH-2,7,8,,"[37.721763, -122.397229]",94124
520 LAKEVIEW AV,,7019,22,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,6/24/2013,RH-2,1,1,,"[37.718442, -122.454602]",94112
54 INA CT,,6004,17,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,9/6/2013,NCT-3,5,5,Market/Octavia,"[37.7234653, -122.4252068]",94112
550 MONTEREY BL,,3093,9,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,8/15/2013,RH-2,1,1,,"[37.731824, -122.447769]",94127
559 TERESITA BL,,2968B,8,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,1/28/2013,RM-1,1,1,Geary Corridor,"[37.738199, -122.445976]",94127
60 ESCONDIDO AV,,2501A,10,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,5/15/2013,RM-1,7,8,,"[37.734936, -122.490222]",94132
60 MONTANA ST,,7057,15,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,10/1/2013,RH-3,7,8,,"[37.71689, -122.455254]",94112
624 VISITACION AV,,6250,7,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,6/12/2013,RED-MX,9,6,West Soma,"[37.711033, -122.405598]",94134
633 LAKEVIEW AV,,7053,34,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,9/12/2013,RH-2,8,9,Eastern Neighborhoods,"[37.718031, -122.457203]",94112
6426 FULTON ST,,1683,,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,2/8/2013,RH-2,9,10,Eastern Neighborhoods,"[37.77206400000001, -122.500814]",94121
678 10TH AV,,1635,21,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,7/22/2013,RH-1,12,11,,"[37.775608, -122.467856]",94118
725 14TH AV,,1657,3,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,3/8/2013,RH-2,1,1,,"[37.77448940000001, -122.4725861]",94118
749 CORBETT AV,,2755,13,2,-1,,,,APARTMENTS,2 FAMILY DWELLING,8/2/2013,RH-2,8,9,Eastern Neighborhoods,"[37.75482, -122.442148]",94131
775 CLEMENTINA ST,,3729,27,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,6/5/2013,RC-4,4,6,,"[37.7743924, -122.411658]",94103
838 KANSAS ST,,4093,7,-1,-1,,,Demolition,1 FAMILY DWELLING,,11/14/2013,RH-2,8,9,Eastern Neighborhoods,"[37.759041, -122.403305]",94107
848 CAYUGA AV,,3209,,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,2/22/2013,RH-3,5,5,,"[37.7245769, -122.43854]",94112
99 NIAGARA AV,,7031,15,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,7/11/2013,MUR,9,6,Eastern Neighborhoods,"[37.7167385, -122.4434567]",94112
3962 CLAY ST,,991,15,1,-2,,,,APARTMENTS,1 FAMILY DWELLING,9/10/2013,RH-1,12,11,,"[37.787907, -122.458427]",94118
1123 FOLSOM ST,,3755,101,2,-13,,,,TOURIST HOTEL/MOTEL,2 FAMILY DWELLING,8/28/2013,RC-4,4,3,,"[37.7760837, -122.4083617]",94103
480 ELLIS ST,,323,15,154,-19,,,,RESIDENTIAL HOTEL,RESIDENTIAL HOTEL,6/19/2013,RC-4,4,3,,"[37.7849931, -122.4141873]",94102
2299 MARKET ST,ICON,3564,91,18,18,0,,New Construction,,APARTMENTS,11/12/2013,NC-2,5,5,A-2,"[37.7640511, -122.4327369]",94114
